;name;COUNT(date);sellQuantity;real_speed;quantity;externalCode;priceType;price;ordering
0;Acanthoscurria geniculata (Белоколенный паук-птицеед) (Артикул 2, Долгий, Средняя, Средняя, Может проявлять агрессию, может укусить, счесывает раздрающие волоски., 200 мм, Средняя, 18-25°, Средний, Горизонтальный, 30 × 30 × 25 см);80;7.0;0.0875;2.0;67b46bd8-5d01-47eb-a18a-cf01fce30835;;;
1;Avicularia versicolor (Авикулярия версиколор) (Артикул 2, Около 20 лет, Низкая, Минимальная, 10 см, красочный, для новичков, древесный, 70-80%, 23-27˚С, Быстрый, Кубический, 20 × 20 × 30 см);84;8.0;0.09523809523809523;5.0;97016148-0365-40e7-b424-e65b4ee6f21a;;;
2;"Beeztees Игрушка д/кошек ""Кролик вибрирующий"", плюш 10*8см (Артикул 1, Зоостандарт)";180;;;1.0;ST1Ih0jdhwfULOtiKy3Hk0;;;
3;"Beeztees Игрушка д/кошек ""Мышь меховая в металлическом шаре"" 5,5см (Артикул 1, Зоостандарт)";180;;;1.0;oMppaau3hhP2yVBItnk2c2;;;
4;"Beeztees Игрушка д/кошек ""Мяч с кошачьей мятой"", сизаль 6см / (Артикул 1, Зоостандарт)";180;;;1.0;O5i4s5yPgPmZyonIXoBtf2;;;
5;"Beeztees Игрушка д/кошек ""Мяч-погремушка с меховым хвостом"" в ассорт. 4,5см (Артикул 1, Зоостандарт)";180;;;1.0;J8n2HZY9i06mi0skRw0MT0;;;
6;"Beeztees Игрушка д/кошек ""Утка вибрирующая"", плюш 11*8см (Артикул 1, Зоостандарт)";180;;;1.0;AOkIxMXdh1nRKEMMvSriL1;;;
7;Beeztees Игрушка д/кошек Дразнилка с перьями 51см (Артикул 1, Зоостандарт);180;;;1.0;Gp7xctMWgq5I-oN5D3Xxa2;;;
8;Beeztees Игрушка д/кошек Дразнилка с перьями и ленточками 55см (Артикул 1, Зоостандарт);180;;;1.0;FFZMo7vIhWNXrLpJLK6aM0;;;
9;Beeztees Игрушка д/кошек Удочка 6 вельветовых хвостиков с перьями 46см (Артикул 1, Зоостандарт);180;;;1.0;ocmMaj2Pjz26CjppAZRil1;;;
10;Beeztees Игрушка д/кошек Удочка с игрушкой и перьями, в ассорт. 50см (Артикул 1, Зоостандарт);180;;;1.0;huRKHeHZiRotcuqewTMj80;;;
11;Beeztees Игрушка д/кошек Удочка с хвостом сафари, в ассорт. 70см (Артикул 1, Зоостандарт);180;;;1.0;t0CLBaBBgiE474XnZ-Wgb0;;;
12;Beeztees Игрушка д/кошек Удочка со страусиными перьями, в ассорт. 70см (Артикул 1, Зоостандарт);180;;;1.0;pV8D3sq6hQ3BzK1XUW7wR0;;;
13;Big Leg Spacer (Артикул 1);180;;;75.0;O7z8G48xiHNOffy8ZwX2O1;;;
14;Bolt Leg M5X16 (Артикул 1);180;;;1326.0;OUFQ1dwRjxgTtNieXFj6M3;;;
15;Bolt Top M5X15 (Артикул 1);180;;;17726.0;SFLNVVV3gEv5QmuA9Vvo-2;;;
16;Brachypelma albiceps (Брахипельма альбицепс) (Артикул 1, 20-25 лет, Низкая, Низкая, 16 см, Спокойный, активный, не агрессивный, 60-70 %, 24-27, Низкая, Вертикальный, 20 × 20 × 20 см);64;2.0;0.03125;5.0;584f58de-0b2d-448c-9184-b37c7129f02e;;;
17;Brachypelma albopilosum (Беловолосковый паук-птицеед) (Артикул 1, Долгий, Легкая, Низкая, 145 мм, Неприхотливый, отлично подходит новичку, 75-85%, 18-25°, Средний, Горизонтальный, 25 × 25 × 20 см);173;14.0;0.08092485549132948;5.0;6977eb81-a612-4408-ba77-dabe7c433891;;;
